n_samples,adjustment_set,mean,variance,mse,n_success,n_rep
250,"['lai_1', 'meldug_2', 'meldug_3', 'middel_3', 'mikro_2', 'mikro_3']",0.00043169350353615025,0.004523478790445977,0.004523665149726973,72,100
250,"['lai_1', 'lai_3', 'meldug_2', 'meldug_3', 'middel_3', 'mikro_2', 'mikro_3']",-0.0008180720303178084,0.004533261032690324,0.004533930274537112,72,100
250,"['lai_1', 'meldug_2', 'meldug_3', 'middel_3', 'mikro_3']",-0.00043105120328833544,0.0047168994257090965,0.004717085230848953,72,100
250,"['meldug_3', 'middel_3', 'mikro_3']",0.010605923711080302,0.004732882540292929,0.004845368158058185,72,100
250,"['lai_1', 'meldug_3', 'middel_3', 'mikro_2', 'mikro_3']",-0.0006534933795045632,0.004870746934205234,0.00487117398780229,72,100
250,"['lai_1', 'meldug_3', 'middel_3', 'mikro_3']",0.003100765907418118,0.004947458494627985,0.004957073243840592,72,100
250,"['lai_1', 'lai_3', 'meldug_2', 'meldug_3', 'middel_3', 'mikro_3']",0.001464813759430029,0.004961312369213677,0.004963458048563492,72,100
250,"['lai_3', 'meldug_3', 'middel_3', 'mikro_3']",0.004788292706703732,0.005022185265814323,0.005045113012859395,72,100
250,"['meldug_3', 'middel_3', 'mikro_2', 'mikro_3']",0.007784156397535255,0.005042063488881637,0.005102656579702926,72,100
250,"['lai_2', 'meldug_3', 'middel_3', 'mikro_2', 'mikro_3']",0.001982151426710249,0.0050971278236061485,0.005101056747884558,72,100
250,"['lai_3', 'meldug_3', 'middel_3', 'mikro_2', 'mikro_3']",0.0024161458476032647,0.005140922773640505,0.0051467605343973955,72,100
250,"['lai_1', 'lai_3', 'meldug_3', 'middel_3', 'mikro_3']",-0.0004277950536646415,0.00523399087621803,0.00523417388482597,72,100
250,"['lai_2', 'lai_3', 'meldug_3', 'middel_3', 'mikro_2', 'mikro_3']",0.004597645543095084,0.0052348220123876145,0.005255960356927557,72,100
250,"['lai_1', 'lai_2', 'lai_3', 'meldug_2', 'meldug_3', 'middel_3', 'mikro_2', 'mikro_3']",-0.0019749893589987803,0.0052514340492846815,0.00525533463225284,72,100
250,"['lai_1', 'lai_3', 'meldug_3', 'middel_3', 'mikro_2', 'mikro_3']",-0.0019748842992133456,0.005272454479456779,0.005276354647452059,72,100
250,"['lai_2', 'lai_3', 'meldug_3', 'middel_3', 'mikro_3']",0.001390380515809519,0.005282399436487094,0.005284332594465837,72,100
250,"['lai_2', 'meldug_3', 'middel_3', 'mikro_3']",0.00013444800567415018,0.005300753845990046,0.005300771922256276,72,100
250,"['lai_1', 'lai_2', 'meldug_2', 'meldug_3', 'middel_3', 'mikro_2', 'mikro_3']",-0.0029041494816876914,0.005444437052620719,0.005452871136832706,72,100
250,"['lai_2', 'meldug_2', 'meldug_3', 'middel_3', 'mikro_2', 'mikro_3']",0.0023872369835274995,0.005517986049493919,0.005523684949909441,72,100
250,"['lai_2', 'lai_3', 'meldug_2', 'meldug_3', 'middel_3', 'mikro_2', 'mikro_3']",0.0017375502398831548,0.005536524032538731,0.0055395431133748495,72,100
250,"['lai_1', 'lai_2', 'meldug_3', 'middel_3', 'mikro_2', 'mikro_3']",-0.0034348575965768152,0.005554011123294762,0.005565809370003523,72,100
250,"['lai_3', 'meldug_3', 'middel_3']",0.002574013032552766,0.00565406288257037,0.0056606884256621215,72,100
250,"['lai_1', 'lai_2', 'lai_3', 'meldug_3', 'middel_3', 'mikro_2', 'mikro_3']",0.0008650333257008687,0.005711107460722044,0.005711855743376617,72,100
250,"['meldug_2', 'meldug_3', 'middel_3', 'mikro_2', 'mikro_3']",0.0073651859167100115,0.005721561053317271,0.005775807016904974,72,100
250,"['lai_3', 'meldug_2', 'meldug_3', 'middel_3', 'mikro_3']",0.005336600536874364,0.005796543995683582,0.00582502330097375,72,100
250,"['lai_1', 'lai_2', 'meldug_3', 'middel_3', 'mikro_3']",0.002762976525798082,0.0058333833998862215,0.005841017439168332,72,100
250,"['lai_3', 'meldug_2', 'meldug_3', 'middel_3', 'mikro_2', 'mikro_3']",0.0036120861250687752,0.005888200301868262,0.005901247468043176,72,100
250,"['lai_2', 'meldug_2', 'meldug_3', 'middel_3', 'mikro_3']",0.0016897023160520161,0.005957823897347578,0.0059606789912644495,72,100
250,"['lai_2', 'lai_3', 'meldug_3', 'middel_3']",-0.0021384632655395298,0.005968046306902747,0.005972619332040809,72,100
250,"['meldug_2', 'meldug_3', 'middel_3', 'mikro_3']",0.009906669043894225,0.00598539679702608,0.006083538888571332,72,100
250,"['lai_1', 'lai_2', 'meldug_2', 'meldug_3', 'middel_3', 'mikro_3']",-0.0025395558854305078,0.00610201545047007,0.006108464794565295,72,100
250,"['lai_2', 'lai_3', 'meldug_2', 'meldug_3', 'middel_3', 'mikro_3']",0.0019551318028079054,0.006173354863348203,0.006177177403714554,72,100
250,"['lai_2', 'meldug_3', 'middel_3']",0.00023367055275180023,0.0063761184354368524,0.006376173037364076,72,100
250,"['lai_3', 'meldug_3', 'middel_3', 'mikro_2']",0.0030044329263571976,0.006546852855130929,0.006555879472339908,72,100
250,"['lai_1', 'lai_2', 'lai_3', 'meldug_2', 'meldug_3', 'middel_3', 'mikro_3']",0.001097092884040544,0.0065546131546596435,0.006555816767455856,72,100
250,"['lai_2', 'lai_3', 'meldug_3', 'middel_3', 'mikro_2']",0.002030198677093298,0.006763895139533449,0.00676801684620192,72,100
250,"['lai_3', 'meldug_2', 'meldug_3', 'middel_3']",0.0032645956245797303,0.006842179693312132,0.006852837277904157,72,100
250,"['lai_1', 'lai_3', 'meldug_2', 'meldug_3', 'middel_3', 'mikro_2']",0.0025848235512691345,0.006856143538961599,0.006862824851752794,72,100
250,"['lai_2', 'meldug_3', 'middel_3', 'mikro_2']",0.0016260646883979263,0.006953106902657058,0.006955750989027913,72,100
