n_samples,adjustment_set,mean,variance,mse,n_success,n_rep
10000,"['meldug_3', 'middel_3', 'mikro_3']",-0.00032687008420461625,7.400733333099356e-05,7.41141773829415e-05,100,100
10000,"['lai_3', 'meldug_3', 'middel_3', 'mikro_3']",-0.0007439785954753203,7.523364032000752e-05,7.578714447053295e-05,100,100
10000,"['lai_2', 'meldug_3', 'middel_3', 'mikro_3']",-0.0006242014455010214,7.909295937463561e-05,7.948258681920118e-05,100,100
10000,"['meldug_3', 'middel_3', 'mikro_2', 'mikro_3']",-0.0002198698916593561,7.966934278383696e-05,7.971768555309526e-05,100,100
10000,"['lai_2', 'lai_3', 'meldug_3', 'middel_3', 'mikro_3']",-0.0006267837324049197,8.053640152862196e-05,8.09292593758294e-05,100,100
10000,"['meldug_2', 'meldug_3', 'middel_3', 'mikro_3']",-0.0018592609400294375,8.098550735509215e-05,8.444235859821131e-05,100,100
10000,"['lai_3', 'meldug_3', 'middel_3', 'mikro_2', 'mikro_3']",0.0003255340147419655,8.519048194533687e-05,8.529645434009089e-05,100,100
10000,"['meldug_2', 'meldug_3', 'middel_3', 'mikro_2', 'mikro_3']",-0.0016867123987651122,8.541857503528362e-05,8.826357375143158e-05,100,100
10000,"['lai_2', 'lai_3', 'meldug_3', 'middel_3', 'mikro_2', 'mikro_3']",1.0396213677077437e-06,8.715026661127291e-05,8.71502676920855e-05,100,100
10000,"['lai_3', 'meldug_2', 'meldug_3', 'middel_3', 'mikro_3']",-0.0015904218664163279,8.92604490192027e-05,9.17898907323779e-05,100,100
10000,"['lai_1', 'meldug_2', 'meldug_3', 'middel_3', 'mikro_3']",-0.0037126970629780725,8.944218789922075e-05,0.00010322630738066675,100,100
10000,"['lai_2', 'meldug_3', 'middel_3', 'mikro_2', 'mikro_3']",0.00012615264538564375,8.951568077160944e-05,8.953159526154724e-05,100,100
10000,"['lai_1', 'meldug_2', 'meldug_3', 'middel_3', 'mikro_2', 'mikro_3']",-0.0028419547047455,9.0574930521896e-05,9.865163706572109e-05,100,100
10000,"['lai_2', 'meldug_2', 'meldug_3', 'middel_3', 'mikro_2', 'mikro_3']",-0.0007234128201256768,9.16689599985348e-05,9.219228610685698e-05,100,100
10000,"['lai_2', 'lai_3', 'meldug_2', 'meldug_3', 'middel_3', 'mikro_2', 'mikro_3']",-0.000537720007324346,9.207480247880265e-05,9.236394528507954e-05,100,100
10000,"['lai_1', 'meldug_3', 'middel_3', 'mikro_2', 'mikro_3']",0.001377715552186986,9.238843607532836e-05,9.428653621806626e-05,100,100
10000,"['lai_2', 'lai_3', 'meldug_2', 'meldug_3', 'middel_3', 'mikro_3']",-0.0007187857155632682,9.257529615002211e-05,9.30919490549199e-05,100,100
10000,"['lai_3', 'meldug_2', 'meldug_3', 'middel_3', 'mikro_2', 'mikro_3']",-0.0012734629251827812,9.310618670371256e-05,9.472789452552764e-05,100,100
10000,"['lai_1', 'meldug_3', 'middel_3', 'mikro_3']",0.0007147410238228636,9.420789550091061e-05,9.471875023204596e-05,100,100
10000,"['lai_2', 'meldug_2', 'meldug_3', 'middel_3', 'mikro_3']",-0.0008252684342700678,9.628286456040643e-05,9.6963932549009e-05,100,100
10000,"['lai_2', 'lai_3', 'meldug_3', 'middel_3']",0.0008553673044229598,0.00011810690990416513,0.00011883856312964093,100,100
10000,"['lai_2', 'lai_3', 'meldug_3', 'middel_3', 'mikro_2']",0.0006290308259886879,0.00011825335851217456,0.00011864903829221857,100,100
10000,"['lai_3', 'meldug_3', 'middel_3', 'mikro_2']",0.000702819409693175,0.00012070492102381548,0.00012119887614645695,100,100
10000,"['lai_3', 'meldug_3', 'middel_3']",0.0010705835816929615,0.00012277186340994525,0.00012391801261533577,100,100
10000,"['lai_2', 'meldug_3', 'middel_3']",0.0006655527260806004,0.00012504206140485902,0.00012548502183605233,100,100
10000,"['lai_2', 'meldug_3', 'middel_3', 'mikro_2']",0.0003497006034279632,0.00012686031705695964,0.0001269826075689975,100,100
10000,"['lai_2', 'meldug_2', 'meldug_3', 'middel_3']",-0.00022238118872893174,0.00013315668152865341,0.00013320613492175392,100,100
