n_samples,adjustment_set,mean,variance,mse,n_success,n_rep
1000,"['meldug_3', 'middel_3', 'mikro_3']",0.003691990502818886,0.00103778325707861,0.0010514140509515148,100,100
1000,"['lai_3', 'meldug_3', 'middel_3', 'mikro_3']",0.0027057252336152087,0.0010924267026423688,0.001099747651682191,100,100
1000,"['lai_2', 'meldug_3', 'middel_3', 'mikro_3']",0.00286620248819462,0.0011094567150487925,0.0011176718317521255,100,100
1000,"['lai_2', 'lai_3', 'meldug_3', 'middel_3', 'mikro_3']",0.0019238872668077306,0.0011184885777443684,0.0011221899199597533,100,100
1000,"['lai_3', 'meldug_2', 'meldug_3', 'middel_3', 'mikro_3']",0.0009121761353809238,0.0011381798904848714,0.0011390119557868298,100,100
1000,"['lai_1', 'meldug_3', 'middel_3', 'mikro_3']",0.0034994282506788654,0.0011458090086729894,0.0011580550067546388,100,100
1000,"['lai_1', 'meldug_2', 'meldug_3', 'middel_3', 'mikro_3']",-0.0026433595842060387,0.001150993477848545,0.001157980827739959,100,100
1000,"['lai_2', 'meldug_2', 'meldug_3', 'middel_3', 'mikro_3']",0.0007937974163489659,0.001151685965324752,0.0011523160796629542,100,100
1000,"['meldug_2', 'meldug_3', 'middel_3', 'mikro_3']",-0.0009934577974446157,0.0011705402538476789,0.0011715272122429824,100,100
1000,"['lai_2', 'lai_3', 'meldug_2', 'meldug_3', 'middel_3', 'mikro_3']",0.00037271473757236886,0.0012115851410775323,0.0012117240573531359,100,100
1000,"['meldug_3', 'middel_3', 'mikro_2', 'mikro_3']",0.0029652021988773015,0.0012185431545025031,0.0012273355785827299,100,100
1000,"['meldug_2', 'meldug_3', 'middel_3', 'mikro_2', 'mikro_3']",-0.002759032519817598,0.001250768916435216,0.0012583811768806272,100,100
1000,"['lai_2', 'meldug_3', 'middel_3', 'mikro_2', 'mikro_3']",0.0006795836058444027,0.001262753015767261,0.0012632148496445933,100,100
1000,"['lai_2', 'meldug_2', 'meldug_3', 'middel_3', 'mikro_2', 'mikro_3']",0.0014225312602314888,0.0012878054204657225,0.0012898290156520584,100,100
1000,"['lai_2', 'lai_3', 'meldug_3', 'middel_3']",0.004542596690939416,0.0012902476866396802,0.0013108828713362139,100,100
1000,"['lai_3', 'meldug_3', 'middel_3', 'mikro_2', 'mikro_3']",0.0008698993146858285,0.0012942768612829894,0.0012950335861006803,100,100
1000,"['lai_3', 'meldug_2', 'meldug_3', 'middel_3', 'mikro_2', 'mikro_3']",0.0002664537273764528,0.0013026086080387066,0.0013026796056275394,100,100
1000,"['lai_2', 'lai_3', 'meldug_3', 'middel_3', 'mikro_2', 'mikro_3']",-0.000900717622246971,0.0013157550406816296,0.0013165663329166557,100,100
1000,"['lai_2', 'lai_3', 'meldug_2', 'meldug_3', 'middel_3']",0.00399111243482779,0.0013193350585260222,0.0013352640369934591,100,100
1000,"['lai_2', 'meldug_3', 'middel_3']",0.0054606411668480905,0.0013233090119235296,0.0013531276138766058,100,100
1000,"['lai_2', 'meldug_2', 'meldug_3', 'middel_3']",0.004092525175644799,0.001325850382446804,0.0013425991447600905,100,100
