n_samples,adjustment_set,mean,variance,mse,n_success,n_rep
4000,"['meldug_3', 'middel_3', 'mikro_3']",0.0018540211096646597,0.00023512740260065563,0.00023856479687573782,100,100
4000,"['lai_3', 'meldug_3', 'middel_3', 'mikro_3']",0.0014289059789471298,0.00025922084723598504,0.00026126261953265587,100,100
4000,"['meldug_3', 'middel_3', 'mikro_2', 'mikro_3']",0.0017607605636505263,0.0002612477226617117,0.00026434800042421863,100,100
4000,"['lai_3', 'meldug_2', 'meldug_3', 'middel_3', 'mikro_3']",0.0002567302112299491,0.00027200553547424147,0.00027207144587559966,100,100
4000,"['lai_2', 'meldug_3', 'middel_3', 'mikro_3']",0.0017245496817618023,0.00027359198132691817,0.0002765660529317829,100,100
4000,"['meldug_2', 'meldug_3', 'middel_3', 'mikro_2', 'mikro_3']",-0.00017853947357724886,0.000275176809751553,0.0002752086860951782,100,100
4000,"['lai_2', 'lai_3', 'meldug_3', 'middel_3', 'mikro_3']",0.0016389429190628245,0.00027578920685647414,0.0002784753407484203,100,100
4000,"['meldug_2', 'meldug_3', 'middel_3', 'mikro_3']",0.00013925489343372455,0.00028540405567158757,0.0002854234475969328,100,100
4000,"['lai_2', 'meldug_3', 'middel_3', 'mikro_2', 'mikro_3']",0.0018901244607542333,0.0002860957926487913,0.0002896683631259328,100,100
4000,"['lai_3', 'meldug_2', 'meldug_3', 'middel_3', 'mikro_2', 'mikro_3']",0.0004666620071297589,0.0002865341449523457,0.0002867519183812441,100,100
4000,"['lai_3', 'meldug_3', 'middel_3', 'mikro_2', 'mikro_3']",0.0016573379119504516,0.0002884224474967417,0.00029116921645112995,100,100
4000,"['lai_2', 'lai_3', 'meldug_3', 'middel_3', 'mikro_2', 'mikro_3']",0.0015413583022106736,0.00029098235559353586,0.0002933581410093296,100,100
4000,"['lai_1', 'meldug_3', 'middel_3', 'mikro_3']",0.00236355421955956,0.0002925649509326321,0.0002981513394814299,100,100
4000,"['lai_2', 'meldug_3', 'middel_3']",0.002160371508341817,0.00029607212155652475,0.00030073932661057984,100,100
4000,"['lai_3', 'meldug_3', 'middel_3']",0.0021928756349027956,0.00029882473194156123,0.0003036334354917116,100,100
4000,"['lai_2', 'meldug_2', 'meldug_3', 'middel_3', 'mikro_2', 'mikro_3']",0.0005663298856575172,0.00029952032888668536,0.0002998410584260742,100,100
4000,"['lai_1', 'meldug_3', 'middel_3', 'mikro_2', 'mikro_3']",0.0025397219218171395,0.00030072212629886206,0.0003071723137390206,100,100
4000,"['lai_2', 'lai_3', 'meldug_2', 'meldug_3', 'middel_3', 'mikro_3']",0.0008393320489484524,0.000301071398414469,0.000301775876702861,100,100
4000,"['lai_2', 'meldug_2', 'meldug_3', 'middel_3', 'mikro_3']",0.0008934585284972429,0.0003056139864524865,0.00030641225459463096,100,100
4000,"['lai_2', 'lai_3', 'meldug_2', 'meldug_3', 'middel_3', 'mikro_2', 'mikro_3']",0.0005832420401252831,0.0003080142782649689,0.0003083544495423384,100,100
