n_samples,adjustment_set,mean,variance,mse,n_success,n_rep
500,"['lai_1', 'meldug_3', 'middel_3', 'mikro_3']",0.00766804036349198,0.0026917231294023955,0.0027505219724185377,91,100
500,"['lai_1', 'meldug_3', 'middel_3', 'mikro_2', 'mikro_3']",0.009908292320086179,0.0027561842200345553,0.002854358476734834,91,100
500,"['meldug_3', 'middel_3', 'mikro_3']",0.00601958968802891,0.0027982477765534234,0.0028344832365656473,91,100
500,"['meldug_3', 'middel_3', 'mikro_2', 'mikro_3']",0.005763176994541193,0.0028558018107986112,0.00288901601986902,91,100
500,"['lai_3', 'meldug_3', 'middel_3', 'mikro_3']",0.004943458471733321,0.0029214358734224216,0.0029458736550841734,91,100
500,"['lai_2', 'lai_3', 'meldug_3', 'middel_3', 'mikro_3']",0.005454011485982107,0.002939274316394245,0.00296902055768347,91,100
500,"['lai_2', 'meldug_3', 'middel_3', 'mikro_3']",0.007706054811507941,0.0030541560943178054,0.00311353937507577,91,100
500,"['lai_2', 'meldug_3', 'middel_3', 'mikro_2', 'mikro_3']",0.0076815991581123694,0.0031022514829730586,0.003161258448598971,91,100
500,"['lai_3', 'meldug_3', 'middel_3']",0.0061127712724043754,0.0031939472383220695,0.0032313132109508015,91,100
500,"['lai_2', 'meldug_3', 'middel_3', 'mikro_2']",0.009881610376261207,0.003205844765328375,0.003303490988956608,91,100
500,"['lai_3', 'meldug_3', 'middel_3', 'mikro_2', 'mikro_3']",0.007045343399558807,0.0032368483585634234,0.0032864852221811303,91,100
500,"['lai_2', 'lai_3', 'meldug_3', 'middel_3', 'mikro_2', 'mikro_3']",0.006703695997193496,0.003245903594593425,0.003290843134616213,91,100
500,"['lai_3', 'meldug_3', 'middel_3', 'mikro_2']",0.009159532152941763,0.0032563836987151264,0.0033402807279759,91,100
500,"['lai_2', 'lai_3', 'meldug_3', 'middel_3', 'mikro_2']",0.009087152738320376,0.003270208018861968,0.0033527843637515316,91,100
500,"['lai_2', 'lai_3', 'meldug_3', 'middel_3']",0.006414194220012782,0.003290419206052963,0.0033315610935450084,91,100
500,"['meldug_2', 'meldug_3', 'middel_3', 'mikro_3']",-0.0017340573547546536,0.0033650035943598206,0.0033680105492693993,91,100
500,"['lai_2', 'meldug_3', 'middel_3']",0.007010817224071497,0.0033751147604097055,0.003424266318559043,91,100
500,"['lai_1', 'meldug_2', 'meldug_3', 'middel_3', 'mikro_3']",0.004031523796724645,0.003427742626760574,0.003443995810884131,91,100
500,"['lai_3', 'meldug_2', 'meldug_3', 'middel_3', 'mikro_3']",0.0051827445778943725,0.0035072119078716386,0.003534072749231332,91,100
500,"['lai_1', 'meldug_2', 'meldug_3', 'middel_3', 'mikro_2', 'mikro_3']",0.005567294048528639,0.0035573009614298374,0.00358829572445262,91,100
500,"['lai_2', 'meldug_2', 'meldug_3', 'middel_3', 'mikro_3']",0.004904443151193723,0.0037010370574970556,0.0037250906201203465,91,100
500,"['lai_2', 'lai_3', 'meldug_2', 'meldug_3', 'middel_3', 'mikro_2', 'mikro_3']",0.005186998701807144,0.003718455709462409,0.0037453606649949576,91,100
500,"['lai_2', 'lai_3', 'meldug_2', 'meldug_3', 'middel_3', 'mikro_3']",0.004396384384374982,0.003739269807664357,0.0037585980033195336,91,100
500,"['meldug_2', 'meldug_3', 'middel_3', 'mikro_2', 'mikro_3']",-0.0016266210131819759,0.0037964635715730544,0.0037991094674935796,91,100
