Adjustment_Set,Avg_A_Y,n=250,n=500,n=1000
"B2,G1",0.9665260156928475,0.010346603651484796,0.011171030417882337,0.010229308128290402
"B2,G1,G2",0.9665260156928475,0.005084266283544861,0.0028829222136662574,0.002168799462898478
"G1,G2",0.9665260156928475,0.00299155837794928,0.0015932976438720338,0.0009492587565093858
