Adjustment_Set,n=250,n=500,n=1000
"B2,G1",0.010210666073733703,0.011041490975971402,0.010099447906196594
"B2,G1,G2",0.005017675991615216,0.0028429652670439913,0.002125588727480647
"G1,G2",0.0029522237085873,0.0015701627479884719,0.0009408277587530545
