Adjustment_Set,Coefficient_Set,Variance,MSE
"G1,G2",26,0.001078629924806343,0.0011365436820673944
"G1,G2",27,0.00025584410163828126,0.00025647663171993336
"G1,G2",28,0.001896469217116857,0.0019178333364291821
"G1,G2",29,0.00047513340585885795,0.0004768501831768197
"G1,G2",30,0.0008142044437536483,0.0008308367848411243
"G1,G2",31,0.00041530119847702076,0.00043074891168490417
"G1,G2",32,0.010816548183533559,0.011005895458011308
"G1,G2",33,0.0005673415493041734,0.0005680071889055357
"G1,G2",34,0.00036634233138322937,0.000366367334526321
"G1,G2",35,0.00034643692833913694,0.0003475116537682256
"G1,G2",36,0.0012127691054331275,0.0012133339096374032
"G1,G2",37,0.00051369362575192,0.0005310503395510749
"G1,G2",38,0.0006089072723645416,0.000608907290754059
"G1,G2",39,0.0007367350931538352,0.0007376971800540921
"G1,G2",40,0.000771921625894701,0.0007770816489689611
"G1,G2",41,0.0004715800096073188,0.0004765024499196022
"G1,G2",42,0.00045185510261205614,0.00045748651436948744
"G1,G2",43,0.00044627503483520524,0.00045262665731037174
"G1,G2",44,0.003962038411673272,0.003962126308212139
"G1,G2",45,0.00033707076368108096,0.00033740942727004193
"G1,G2",46,0.0008031415927527498,0.0008045572005477619
"G1,G2",47,0.00036271773807939505,0.000362917616755754
"G1,G2",48,0.001177087138217436,0.0011770871861247084
"G1,G2",49,0.0004005667411181127,0.00040088392025534967
"B1,G1,G2",0,0.014773994396065132,0.014801015131070594
"B1,G1,G2",1,0.0023901375626192586,0.0023981596433208896
"B1,G1,G2",2,0.018603515029970288,0.018610496943060488
"B1,G1,G2",3,0.0014753765568119239,0.001484363257018142
"B1,G1,G2",4,0.0011082136558035484,0.001112078511893712
"B1,G1,G2",5,0.00302968321482582,0.0030303412554405413
"B1,G1,G2",6,0.0031208156030811743,0.0031230204601116027
"B1,G1,G2",7,0.001721525336804085,0.0017508161564176023
"B1,G1,G2",8,0.0050691255714504346,0.005322133761380907
"B1,G1,G2",9,0.0017231931066859028,0.0017232194265620637
"B1,G1,G2",10,0.00039822421760271474,0.00040267953855913557
"B1,G1,G2",11,0.0008017990290907204,0.0008021069436359303
