n_samples,adjustment_set,mean,variance,mse,n_success,n_rep
250,['bronc'],0.3356257468635935,0.014274553188457835,0.015824884998507652,100,100
250,"['bronc', 'smoke']",0.30230318668794603,0.017567297029183096,0.02285212369491072,100,100
250,['smoke'],0.32262639460166775,0.021041507737924903,0.02378450228034512,100,100
250,"['bronc', 'lung', 'smoke']",0.22248787829678637,0.029558827744373184,0.05281877501078903,100,100
250,"['bronc', 'lung']",0.24094336829096097,0.03602985632029279,0.05400103682546572,100,100
250,"['lung', 'smoke']",0.25047324191156745,0.04575824248855016,0.06126515596856517,100,100
250,['lung'],0.27866347814695946,0.053167649351600316,0.06244837479434167,100,100
