n_samples,adjustment_set,mean,variance,mse,n_success,n_rep
1000,['bronc'],0.3587864828824039,0.002660483812189034,0.002923361949511616,100,100
1000,['smoke'],0.3535453149011071,0.004078106620893606,0.004538410133586264,100,100
1000,"['bronc', 'smoke']",0.3503964740654779,0.004190454681770254,0.004795788170180955,100,100
1000,"['bronc', 'lung']",0.3500654867787715,0.013278400303702378,0.013900130253281998,100,100
1000,['lung'],0.35554277130684075,0.013345571541240634,0.013724155289658533,100,100
1000,"['bronc', 'lung', 'smoke']",0.34017217391393806,0.014076434650989837,0.015289412120870814,100,100
1000,"['lung', 'smoke']",0.3495425224069094,0.015059185578051332,0.01570726874345404,100,100
