n_samples,adjustment_set,mean,variance,mse,n_success,n_rep
10000,['bronc'],0.3702677969544473,0.0002665750881763928,0.00028896883384073123,100,100
10000,"['bronc', 'smoke']",0.36502051757908227,0.00044211424489013184,0.0005417043142795378,100,100
10000,['smoke'],0.36630551635834174,0.000461018725086845,0.000536612770881908,100,100
10000,"['bronc', 'lung']",0.3635573188185135,0.0016991384783533261,0.0018300734309744716,100,100
10000,"['bronc', 'lung', 'smoke']",0.3620992009834631,0.0017704417142299853,0.0019368723294950648,100,100
10000,['lung'],0.3655287156471404,0.001843256449909151,0.0019329616772018742,100,100
10000,"['lung', 'smoke']",0.3627802790885564,0.0018867169913206906,0.002036038570474262,100,100
