n_samples,adjustment_set,mean,variance,mse,n_success,n_rep
4000,['bronc'],0.3678477257022952,0.0006173358535458644,0.0006684908811754734,100,100
4000,"['bronc', 'smoke']",0.3689151644490661,0.0008689330054816539,0.0009059582291635632,100,100
4000,['smoke'],0.37005315214851575,0.0010116472449588727,0.001036118548624607,100,100
4000,"['bronc', 'lung', 'smoke']",0.3712575133432894,0.0033324619772474367,0.0033464681836230937,100,100
4000,"['bronc', 'lung']",0.3704257121116281,0.0033950072831641816,0.0034159313928498873,100,100
4000,['lung'],0.37291593326380046,0.0034610397795128436,0.003465383113673777,100,100
4000,"['lung', 'smoke']",0.3715510210464609,0.003670834497575897,0.0036827299533978525,100,100
