n_samples,adjustment_set,mean,variance,mse,n_success,n_rep
500,['bronc'],0.35697608607251147,0.004873051972983171,0.005197913446248687,100,100
500,"['bronc', 'smoke']",0.3434640745503601,0.0062829776434365605,0.0072774922374018065,100,100
500,['smoke'],0.3528481647273237,0.008619647686415757,0.009110351492363541,100,100
500,"['bronc', 'lung', 'smoke']",0.29950507909871116,0.01735498638811693,0.02305446947000879,100,100
500,['lung'],0.34410604176775084,0.020549276909637298,0.021503713564893254,100,100
500,"['bronc', 'lung']",0.3113319682236021,0.02072438502007618,0.024778003290356596,100,100
500,"['lung', 'smoke']",0.3276087381767388,0.021794394990002273,0.024040326687203167,100,100
