n_samples,adjustment_set,mean,variance,mse,n_success,n_rep
1000,"['Erk', 'PKA']",0.009592600769893201,0.0012505710913283024,0.001342589080858858,100,100
1000,"['Erk', 'Mek', 'PKA']",0.006436798262128756,0.001422866198857518,0.0014642985707248618,100,100
1000,"['Erk', 'PKA', 'Raf']",0.009086627971212971,0.0015622232139401917,0.0016447900218274217,100,100
1000,"['Erk', 'Mek', 'PKA', 'Raf']",0.0038356377643038704,0.0015874476986852736,0.0016021598157442275,100,100
1000,"['Mek', 'PKA']",0.018606019884209738,0.0035134629029747173,0.0038596468789063253,100,100
1000,"['Mek', 'PKA', 'Raf']",0.015583694685215331,0.0038305269474069566,0.004073378487448965,100,100
