n_samples,adjustment_set,mean,variance,mse,n_success,n_rep
4000,"['Erk', 'PKA']",0.00482995735051403,0.0003327502922479543,0.0003560787802557388,100,100
4000,"['Erk', 'PKA', 'Raf']",0.004729558063597934,0.00041300045582593994,0.0004353691753028842,100,100
4000,"['Erk', 'Mek', 'PKA']",0.004008713607651693,0.0006234970910715163,0.0006395668758596882,100,100
4000,"['Erk', 'Mek', 'PKA', 'Raf']",0.004034329364186094,0.0006504249771217931,0.0006667007905405274,100,100
4000,"['Mek', 'PKA']",0.01097178043813535,0.00201299047735501,0.00213337044333766,100,100
4000,"['Mek', 'PKA', 'Raf']",0.011068134757746585,0.0020501192452793537,0.002172622852294992,100,100
