n_samples,adjustment_set,mean,variance,mse,n_success,n_rep
250,"['Erk', 'Mek', 'PKA']",0.02166686034397179,0.004286953479751328,0.004756406316916505,100,100
250,"['Erk', 'Mek', 'PKA', 'Raf']",0.0186144664831755,0.004557207152432341,0.004903705514885605,100,100
250,"['Erk', 'PKA', 'Raf']",0.029248993225408908,0.0048316876037560515,0.005687191208456068,100,100
250,"['Erk', 'PKA']",0.03558954076178172,0.004912675072469443,0.006179290484103965,100,100
250,"['Mek', 'PKA']",0.04337804128210347,0.0075241286662039485,0.009405783131675822,100,100
250,"['Mek', 'PKA', 'Raf']",0.042574466657299644,0.008430611844686077,0.010243197055839596,100,100
