n_samples,adjustment_set,mean,variance,mse,n_success,n_rep
500,"['Erk', 'Mek', 'PKA']",0.014892462502023642,0.0023811075802082134,0.0026028930195823937,100,100
500,"['Erk', 'PKA']",0.024199327595835592,0.0026933075896644564,0.0032789150457550264,100,100
500,"['Erk', 'Mek', 'PKA', 'Raf']",0.012982428138198596,0.0027172406517427116,0.002885784092106202,100,100
500,"['Erk', 'PKA', 'Raf']",0.022563841217952973,0.002932467663617445,0.0034415945941264387,100,100
500,"['Mek', 'PKA']",0.03542374299763793,0.004084370352890235,0.005339211920852937,100,100
500,"['Mek', 'PKA', 'Raf']",0.031655825650056896,0.004858117846690998,0.005860209144277798,100,100
