Adjustment_Set,Coefficient_Set,Variance,MSE
"B1,G2",0,0.008855768921805358,0.008857597819802363
"B1,G2",1,0.0002476700224797859,0.0002477207190530384
"B1,G2",2,0.0007440630394043031,0.0007461304438058079
"B1,G2",3,0.017566257240125144,0.017629365284660775
"B1,G2",4,0.000287567645446269,0.00029028715444259957
"B1,G2",5,0.010386165542616734,0.010386383121495835
"B1,G2",6,0.0008494201352977956,0.0008709477496431859
"B1,G2",7,0.0015483074885266508,0.0015497856226899163
"B1,G2",8,0.02663338711452633,0.026669436685143263
"B1,G2",9,0.00023227704657570588,0.00024103254028607566
"B1,G2",10,0.0005106648562841205,0.0005325329262824738
"B1,G2",11,0.000625298714750011,0.000626805202346034
"B1,G2",12,0.0025536919772835465,0.0025740931966470957
"B1,G2",13,0.0012085704932232287,0.001236385950780931
"B1,G2",14,0.012018779586950948,0.012023846181550257
"B1,G2",15,0.00029010258632280794,0.000296692645301107
"B1,G2",16,0.0003594394636136799,0.0003601863083762453
"B1,G2",17,0.00038794688695360406,0.0003893566855159011
"B1,G2",18,0.001586552808085938,0.0015866613771043266
"B1,G2",19,0.009645309964448547,0.009749774415503
"B1,G2",20,0.0010749220156718766,0.001099982059948213
"B1,G2",21,0.00764357789445211,0.007667759842652413
"B1,G2",22,0.0018721301927241928,0.0018729691156768062
"B1,G2",23,0.002992835948674197,0.003016536605554588
"B1,G2",24,0.002556114755153115,0.002561934537288683
"B1,G2",25,0.003029066200952083,0.003040107359033743
"B1,G2",26,0.005732453333221211,0.005751773673891967
"B1,G2",27,0.0007906236177256022,0.0008075644211752551
"B1,G2",28,0.0007412329420479609,0.0007417992952198628
"B1,G2",29,0.002539234630920593,0.00255538984430834
"B1,G2",30,0.00026114462835306293,0.0002629141932001794
"B1,G2",31,0.005750236940482035,0.00575087675797096
"B1,G2",32,0.0008555915919484161,0.0008587767910441733
"B1,G2",33,0.0018398616902263179,0.0018415330977835465
"B1,G2",34,0.02744431297189388,0.028059083709179186
"B1,G2",35,0.03493393473080374,0.03502643599657925
"B1,G2",36,0.001176200095369968,0.0011768466806198145
"B1,G2",37,0.002736302868481127,0.002736381360090764
"B1,G2",38,0.0009949385007753074,0.0010046896235956719
"B1,G2",39,0.00591147431949457,0.005912039572547812
"B1,G2",40,0.00044898833641950634,0.00044921578899797095
"B1,G2",41,0.0011081642671250105,0.0011659867694335298
"B1,G2",42,0.0008813765972490093,0.0008837032812094022
"B1,G2",43,0.003084795107147058,0.0030889236987506684
"B1,G2",44,0.0016357651964721334,0.0016357952054868363
"B1,G2",45,0.028868935139526066,0.02926333565427227
"B1,G2",46,0.0015014123437733207,0.001502669806443541
"B1,G2",47,0.000548284786254293,0.0005513844443438994
"B1,G2",48,0.00026313427784616246,0.0002666966092736631
"B1,G2",49,0.0020198227102814757,0.0020431379955276707
"G1,G2",0,0.0002389958096326179,0.0002393030773941522
"G1,G2",1,0.000305426188303995,0.0003059199332121035
"G1,G2",2,0.00016649949346841692,0.00016931992753895428
"G1,G2",3,0.0003332516406325085,0.00033330080496870673
"G1,G2",4,0.00041159065191882907,0.0004117905536674614
"G1,G2",5,0.00018926897900398913,0.00019456567653338468
"G1,G2",6,0.0008414368676519708,0.0008590554893408773
"G1,G2",7,0.0011743897803315414,0.0012187801416486462
"G1,G2",8,0.0008089255644531066,0.000829502312276825
"G1,G2",9,0.0010448668661306765,0.0010572220892293212
"G1,G2",10,0.0007537691831049057,0.0007543087842601576
"G1,G2",11,0.0005271922091517893,0.0005278050543429825
"G1,G2",12,0.000438845856473351,0.000446898360983374
"G1,G2",13,0.0005863214851222641,0.0006379327316571278
"G1,G2",14,0.0005303833504135893,0.0005306896651524559
"G1,G2",15,0.0006039593891811319,0.000608213053228374
"G1,G2",16,0.0004180193944633886,0.0004230798212882169
"G1,G2",17,0.0005539907646951189,0.0005541151149300888
"G1,G2",18,0.0002737300131699681,0.0002740667164558389
"G1,G2",19,0.00043786697900313943,0.0004378672221336093
"G1,G2",20,0.0011982373020841721,0.0011982834365457408
"G1,G2",21,0.00019273104530114187,0.00019457813506076763
"G1,G2",22,0.0004158905958583155,0.0004209764502710662
"G1,G2",23,0.00013819011211783583,0.0001395949080823182
"G1,G2",24,0.0003189529685233537,0.0003226188588697391
"G1,G2",25,0.00022453478512255586,0.00022457449362172478
"G1,G2",26,0.00018082173599794394,0.00018113733635278368
"G1,G2",27,0.00023072847379692783,0.00023078809172520745
"G1,G2",28,0.00034458275395818865,0.0003489638321356486
"G1,G2",29,0.0004961334116326976,0.0005009977514082102
"G1,G2",30,0.0001603179070805375,0.00016051479761592313
"G1,G2",31,0.0002375151776332652,0.0002423752397826438
"G1,G2",32,0.00019326000365115412,0.0001945248485884369
"G1,G2",33,0.0001784379278687543,0.00018188755848535664
"G1,G2",34,0.00027225436410626536,0.0002725499522741945
"G1,G2",35,0.006180582153351366,0.006204556351203358
"G1,G2",36,0.00027554421006844627,0.00027726351169352325
"G1,G2",37,0.0031521861944843787,0.003152981000098195
"G1,G2",38,0.0004546468755294297,0.0004608420389105993
"G1,G2",39,0.0009293505452859121,0.0009614508938518603
"G1,G2",40,0.0002310857812169405,0.0002310893758329326
"G1,G2",41,0.0002181176978053464,0.00021876708235743736
"G1,G2",42,0.0001426596753558977,0.000145224118937927
"G1,G2",43,0.0004258622151220895,0.0004268805771986148
"G1,G2",44,0.0003026956120503845,0.0003067048463468013
"G1,G2",45,0.0007593585361525563,0.00076200016439007
"G1,G2",46,0.0002441989166610786,0.0002546587038213317
"G1,G2",47,0.00015919402475157745,0.00015940546165891305
"G1,G2",48,0.00016696404534781044,0.00016767028304690308
"G1,G2",49,0.0005602121690579003,0.0005602897817529326
"B1,G1,G2",0,0.0007009137373686627,0.0007010799880297602
"B1,G1,G2",1,0.00018854666698918076,0.00018855700467588046
"B1,G1,G2",2,0.0005549200648199294,0.0005827720514032416
"B1,G1,G2",3,0.0004011939948015962,0.00040357805330842867
"B1,G1,G2",4,0.0009713219479294434,0.0009726036679613677
"B1,G1,G2",5,0.0010560371135359507,0.0010669058021488072
"B1,G1,G2",6,0.0011431739069730224,0.0011466623109596535
"B1,G1,G2",7,0.0006123855868681406,0.0006141341075763996
"B1,G1,G2",8,0.0008614651813324949,0.0008642216406362517
"B1,G1,G2",9,0.0003485223976984651,0.00035040748197281675
"B1,G1,G2",10,0.0006041353271748512,0.0006045354270825608
"B1,G1,G2",11,0.0005720716643466367,0.0005761486621114653
"B1,G1,G2",12,0.0004814226857836012,0.0005038564702422063
"B1,G1,G2",13,0.0008681992821847795,0.0008846639688603484
"B1,G1,G2",14,0.0016616586905505517,0.0016989222712271814
"B1,G1,G2",15,0.02240580336208917,0.02259727185236371
"B1,G1,G2",16,0.000200546836970599,0.00020722774154312515
"B1,G1,G2",17,0.0003001048261649547,0.000300231888817459
"B1,G1,G2",18,0.0011052018461970591,0.0011160103513033553
"B1,G1,G2",19,0.0001973524890220163,0.0001976262304613511
"B1,G1,G2",20,0.0004614266047725076,0.0004616426429069366
"B1,G1,G2",21,0.0009421943891947885,0.0009567743739947016
"B1,G1,G2",22,0.0011737212366838168,0.0011866517351960695
"B1,G1,G2",23,0.002989858649052795,0.0030911220210951013
"B1,G1,G2",24,0.00857640418248572,0.008597585240565071
"B1,G1,G2",25,0.007080656412025276,0.007081965933310781
"B1,G1,G2",26,0.00017939986699160745,0.00018263860948281702
"B1,G1,G2",27,0.004435452136706974,0.004438870511424293
"B1,G1,G2",28,0.0006271447969530568,0.0006405417225986912
"B1,G1,G2",29,0.000601176288791754,0.0006034171773269298
"B1,G1,G2",30,0.013720763401736965,0.013764368481305021
